marca,modelo,modelo_anyo,precio_contado,precio_financiado,precio_nuevo,fecha_matriculacion,combustible,kilometraje,carroceria,garantia,color,distintivo_medioambiental,largo,ancho,alto,batalla,volumen_maletero,mma,numero_puertas,numero_plazas,cilindrada,numero_cilindros,sobrealimentacion,traccion,tipo_cambio,numero_marchas,potencia_kw,potencia_cv,par_nm,velocidad_maxima,aceleracion,consumo_urbano,consumo_carretera,consumo_medio,co2,capacidad_deposito,pais,provincia,vendedor
MERCEDES-BENZ,Citan,2018,14999,,21296,12/2018,diesel,94540,monovolumen,12 ,gris,,4321,1829,1809,2697,685/0,1950,5,5,1461,4,turbo,delantera,manual,5,66,90,200,,0.0,5.3,4.6,4.8,112.0,60.0,spain,malaga,vendedor profesional
BMW,Serie 2,2023,92000,91800,91250,05/2023,gasolina,7000,coupe,36 ,azul,,4580,1887,1403,2747,390/0,2155,2,4,2993,6,turbo,trasera,automatica secuencial,8,338,460,550,250,4.1,0.0,0.0,0.0,,52.0,spain,tarragona,vendedor profesional
SMART,Forfour,2019,11900,11900,14961,01/2019,gasolina,55778,berlina,12 ,blanco (solid),,3495,1665,1554,2494,190/0,1400,5,4,999,3,,trasera,automatica secuencial,6,52,71,91,151,16.9,6.2,3.8,5.5,112.0,28.0,spain,madrid,vendedor profesional
HYUNDAI,Tucson,2023,40900,38900,,06/2023,gasolina y corriente electrica,11039,"4x4, suv o pickup",12 ,gris,,,,,,,,,,,,,,,,,,,,,,,,,,spain,valencia,vendedor profesional
LEXUS,UX,2020,24500,22500,38100,02/2020,gasolina y corriente electrica,72000,todo terreno,12 ,gris lunar,,4495,1840,1540,2640,320/0,2165,5,5,1987,4,,delantera,automatica continua,1,135,184,180,177,8.5,5.3,3.4,4.1,96.0,43.0,spain,madrid,vendedor profesional
RENAULT,Megane,2020,13300,,22620,03/2020,gasolina,85000,berlina,si,negro,,4359,1814,1438,2670,384/1247,1806,5,5,1332,4,turbo,delantera,manual,6,103,140,240,189,9.5,7.0,4.6,5.5,125.0,47.0,spain,malaga,vendedor profesional
HONDA,CR-V,2022,36500,33182,,06/2022,gasolina,28531,berlina mediana o grande,12 ,azul,,,,,,,,,,,,,,,,,,,,,,,,,,spain,albacete,vendedor profesional
RENAULT,Scenic,2010,6500,6500,25600,06/2010,diesel,169000,monovolumen,12 ,marron,,4493,1810,1636,2736,553/1960,2165,5,5,1870,4,turbo,delantera,manual,6,96,130,300,192,9.9,7.4,5.3,6.0,159.0,60.0,spain,islas baleares,vendedor profesional
BMW,Serie 5,2018,26500,25500,55200,06/2018,diesel,108000,berlina,12 ,negro metalizado / metalizado,,4936,1868,1479,2975,530/0,2270,4,5,1995,4,turbo de geometria variable,trasera,automatica secuencial,8,140,190,400,235,7.3,5.0,4.1,4.5,117.0,66.0,spain,madrid,vendedor profesional
VOLKSWAGEN,T-Cross,2022,20490,19490,26709,09/2022,gasolina,17992,todo terreno,12 ,arrecife,,4110,1782,1558,2563,455/1281,1750,5,5,999,3,turbo,delantera,manual,6,81,110,200,189,9.9,0.0,0.0,0.0,,40.0,spain,madrid,vendedor profesional
